Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-37.78766,159.8792,-33.3555,1.428401,139.1682,-21.00455,27.86086,129.7941,-19.86838,77.11573,-90.41263,-4.277496,5.091911,90.63927,-179.7633,-84.46942,48.97795,-139.0141,77.90826,-56.49506,24.326,5.825588,97.40704,174.6921,-80.23431,-106.7642,24.66132,0.827451,1,1,0.6862745
-38.18777,159.2717,-33.20398,0.9679478,138.7081,-20.7507,27.32471,129.5479,-19.47919,77.11573,-90.4126,-4.277466,5.091915,90.63927,-179.7633,-84.46942,48.97803,-139.0142,77.90831,-56.49506,24.32601,5.825583,97.40704,174.6921,-80.23431,-106.7643,24.66137,0.827451,1,1,0.6901961
-38.05905,159.4913,-33.24915,1.075978,138.8984,-20.82922,27.41881,129.6906,-19.58588,77.11572,-90.4126,-4.277496,5.091914,90.63927,-179.7633,-84.46942,48.97803,-139.0142,77.90826,-56.49506,24.32596,5.825581,97.40703,174.6921,-80.23428,-106.7643,24.66134,0.827451,1,1,0.6901961
-41.38559,154.5096,-31.72403,-4.069275,135.6979,-18.62476,20.34423,128.6438,-16.07721,77.11572,-90.4126,-4.277435,5.091914,90.63927,-179.7633,-84.46954,48.97807,-139.0142,77.90829,-56.49506,24.32599,5.825582,97.40704,174.6921,-80.23431,-106.7643,24.66139,0.7529412,1,1,0.7882353
-41.63522,154.0597,-31.59586,-4.414368,135.3671,-18.45663,19.89023,128.442,-15.84146,77.11575,-90.4126,-4.277466,5.091914,90.63927,-179.7633,-84.46951,48.97803,-139.0141,77.90831,-56.49503,24.32603,5.825589,97.40703,174.6921,-80.23434,-106.7643,24.66134,0.7529412,1,1,0.7921569
-41.76422,153.8514,-31.52707,-4.660339,135.2443,-18.37012,19.52404,128.407,-15.70581,75.70271,-90.19949,-4.257935,8.424452,90.84428,-179.7409,-80.10712,68.71957,-158.6059,74.93122,-61.72128,19.27477,13.19401,96.69123,174.5382,-84.96207,152.7577,124.5427,0.7490196,0.9764706,0.9490196,0.7960784
-41.89267,153.6415,-31.45801,-4.906433,135.1198,-18.28403,19.15702,128.3691,-15.57162,74.99022,-90.09912,-4.255157,10.10863,90.94855,-179.7277,-77.70609,73.16226,-162.9733,71.02598,-66.06882,15.12884,22.5311,95.7257,174.2126,-71.70599,110.2869,166.2517,0.7490196,0.9647059,0.8862745,0.7960784
-41.76422,153.8514,-31.52707,-4.660339,135.2443,-18.37012,19.52404,128.407,-15.70581,75.46563,-90.16565,-4.256561,8.984538,90.87891,-179.7366,-79.31592,70.41484,-160.2761,69.75919,-67.12619,14.13128,25.5062,95.39565,174.0719,-67.03467,107.4307,168.8606,0.7490196,0.972549,0.8666667,0.7960784
-41.38559,154.5096,-31.724,-4.069275,135.6979,-18.62476,20.34424,128.6439,-16.07721,77.11573,-90.4126,-4.277466,5.091914,90.63927,-179.7633,-84.46945,48.97806,-139.0142,71.52681,-65.61221,15.56109,21.34848,95.85335,174.2631,-73.54575,111.8427,164.7935,0.7607843,1,0.9019608,0.7803922
-39.41931,157.5827,-32.66534,-0.9563293,137.6955,-19.931,24.67447,129.4032,-18.10806,77.11575,-90.4126,-4.277466,5.091913,90.63927,-179.7633,-84.46942,48.978,-139.0141,75.63562,-60.68604,20.27052,11.47577,96.86066,174.5815,-85.87231,-174.1984,91.63783,0.8,1,0.9607843,0.7254902
-37.08258,160.7551,-33.64517,2.511222,139.655,-21.47806,29.33413,129.7399,-20.7041,77.11572,-90.4126,-4.277496,5.091915,90.63927,-179.7633,-84.46948,48.97801,-139.0141,77.23947,-57.89023,22.9721,7.507982,97.24575,174.664,-82.57535,-115.6277,33.38825,0.8588235,1,0.9843137,0.6470588
-35.94052,162.1207,-34.09418,4.184186,140.4115,-22.24954,31.55326,129.5954,-22.09604,77.11572,-90.4126,-4.277466,5.091909,90.63927,-179.7633,-84.46951,48.978,-139.0141,76.78724,-58.74985,22.1397,8.635654,97.13705,174.643,-83.9856,-125.2449,42.91414,0.8705882,1,0.9803922,0.627451
-36.08823,161.9668,-34.0325,3.94329,140.3509,-22.14487,31.21874,129.6729,-21.89435,77.11572,-90.41257,-4.277435,5.09192,90.63927,-179.7633,-84.46945,48.97808,-139.0142,76.09963,-59.9455,20.98444,10.33616,96.97207,174.6076,-85.55096,-150.0403,67.57196,0.8666667,1,0.9686275,0.6313726
-36.79218,161.0771,-33.76883,2.995812,139.7944,-21.68015,30.0156,129.6223,-21.08224,77.11572,-90.4126,-4.277466,5.091911,90.63927,-179.7633,-84.46948,48.97802,-139.0141,76.33006,-59.55878,21.35777,9.768142,97.02734,174.6199,-85.13879,-140.0619,57.63951,0.854902,1,0.972549,0.6509804
-37.77432,159.8296,-33.37384,1.56323,139.0579,-21.02411,28.11275,129.6124,-19.93866,77.11576,-90.4126,-4.277466,5.091912,90.63927,-179.7633,-84.46948,48.97803,-139.0141,77.90831,-56.49506,24.32601,5.825582,97.40704,174.6921,-80.23425,-106.7643,24.66135,0.8352941,1,1,0.6784314
-39.00439,158.1259,-32.85681,-0.2219849,137.9762,-20.21094,25.73666,129.3617,-18.59229,77.11575,-90.4126,-4.277466,5.091912,90.63928,-179.7633,-84.46948,48.97806,-139.0142,77.90833,-56.49503,24.32602,5.825583,97.40704,174.6921,-80.23431,-106.7643,24.66137,0.8117647,1,1,0.7137255
-39.55664,157.3988,-32.60138,-1.201691,137.5986,-19.83884,24.31827,129.4109,-17.95047,77.11572,-90.4126,-4.277466,5.091919,90.63927,-179.7633,-84.46948,48.97803,-139.0141,77.2395,-57.89023,22.97209,7.507982,97.24575,174.664,-82.57544,-115.6277,33.38829,0.7921569,1,0.9843137,0.7333333
-39.95428,156.7946,-32.42102,-1.796936,137.1988,-19.57669,23.51104,129.2592,-17.53912,77.11576,-90.41263,-4.277496,5.091905,90.63928,-179.7633,-84.46942,48.97796,-139.0141,75.16708,-61.38568,19.59728,12.62009,96.74805,174.5532,-85.42593,162.2281,115.1187,0.7882353,1,0.9529412,0.7411765
-39.95428,156.7946,-32.42102,-1.796936,137.1988,-19.57666,23.51104,129.2592,-17.53912,76.64648,-90.33948,-4.268616,6.197438,90.70712,-179.7564,-83.12341,58.23977,-148.2261,73.97758,-62.97659,18.07129,15.50127,96.46043,174.4724,-82.23672,129.7581,147.3554,0.7882353,0.9921569,0.9333333,0.7411765
-40.48215,155.9859,-32.17169,-2.637238,136.6804,-19.22665,22.34014,129.079,-16.98883,77.11572,-90.4126,-4.277466,5.091911,90.63927,-179.7633,-84.46948,48.97803,-139.0142,74.21751,-62.67508,18.35993,14.92273,96.5187,174.4897,-83.00238,133.8155,143.3449,0.7764706,1,0.9411765,0.7568628
-41.51559,154.3042,-31.65607,-4.315521,135.5779,-18.5379,19.97857,128.6131,-15.93973,77.11575,-90.4126,-4.277466,5.091904,90.63927,-179.7633,-84.46942,48.97801,-139.0141,75.86819,-60.32111,20.62218,10.90538,96.91653,174.5948,-85.80579,-161.6473,79.13296,0.7529412,1,0.9647059,0.7882353
-45.3024,146.6379,-29.29019,-10.9357,130.2686,-15.87778,10.36322,125.416,-12.29001,77.11575,-90.41263,-4.277496,5.091911,90.63927,-179.7633,-84.46948,48.97803,-139.0142,75.63562,-60.68604,20.27052,11.47577,96.86067,174.5815,-85.87222,-174.1984,91.63783,0.6588235,0.9960784,0.9568627,0.9137255
-46.84677,142.4901,-27.96844,-14.06448,127.3131,-14.65826,5.592203,123.2846,-10.79672,75.46564,-90.16562,-4.256561,8.984538,90.87891,-179.7366,-79.31589,70.41484,-160.2761,74.69434,-62.04773,18.96136,13.7691,96.63409,174.5226,-84.38446,145.0323,132.2216,0.6117647,0.972549,0.945098,0.972549
-46.94214,142.1958,-27.87506,-14.13983,127.0652,-14.56906,5.523093,123.0674,-10.70468,74.75185,-90.06647,-4.255188,10.67266,90.98363,-179.723,-76.89008,74.28955,-164.0754,74.21748,-62.67511,18.35992,14.92273,96.51869,174.4897,-83.00244,133.8155,143.3448,0.6352941,0.9568627,0.9333333,0.945098
-43.00522,151.6119,-30.83203,-6.820892,133.7572,-17.52701,16.39664,127.6582,-14.47971,73.07105,-89.8468,-4.2659,14.65761,91.23346,-179.6852,-71.03778,79.51583,-169.1244,72.76365,-64.37424,16.7371,18.41096,96.16282,174.3763,-78.03845,117.6665,159.2103,0.7176471,0.9333333,0.9137255,0.8352941
